Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
8_G_2_Day_3_LT,8,CPC,G,F,Day_3,Spring,LT,34.86,0.59,-0.012,2.4e-05,0.15,0.15,0.1139,0.0876,0.10571319576027145,27888.0,False,-0.018113195760271456,0.018113195760271456,0.00032808786064991583
8_H_2_Day_1_HT,8,CPC,H,F_across,Day_1,Neap,HT,83.91,0.65,0.0114,2.5e-05,0.15,0.15,0.0497,0.0382,0.01877942464398514,63771.6,False,0.01942057535601486,0.01942057535601486,0.0003771587471586517
8_H_2_Day_1_LT,8,CPC,H,F_across,Day_1,Neap,LT,83.91,0.57,-0.0104,2e-05,0.15,0.15,0.0883,0.0679,0.11102969828813153,58177.59999999999,False,-0.04312969828813153,0.04312969828813153,0.0018601708744252555
8_H_2_Day_2_HT,8,CPC,H,F_across,Day_2,Spring,HT,83.91,0.65,0.0125,2.8e-05,0.15,0.15,0.1123,0.0864,0.057954352635578896,69925.0,False,0.02844564736442111,0.02844564736442111,0.0008091548539809975
8_H_2_Day_2_LT,8,CPC,H,F_across,Day_2,Spring,LT,83.91,0.57,-0.0106,2.1e-05,0.15,0.15,0.0724,0.0557,0.07626662837703223,59296.399999999994,False,-0.02056662837703223,0.02056662837703223,0.0004229862027989473
8_H_2_Day_3_HT,8,CPC,H,F_across,Day_3,Spring,HT,83.91,0.65,0.0108,2.4e-05,0.15,0.15,0.0555,0.0427,0.023925591409009392,60415.2,False,0.01877440859099061,0.01877440859099061,0.000352478417941462
8_H_2_Day_3_LT,8,CPC,H,F_across,Day_3,Spring,LT,83.91,0.57,-0.0133,2.6e-05,0.15,0.15,0.0094,0.0072,0.00998913204999966,74400.19999999998,False,-0.0027891320499996604,0.0027891320499996604,7.779257592335308e-06
14_I_2_Day_1_HT,14,LC,I,Dutch_Canal,Day_1,Neap,HT,0.0,1.09,0.0279,0.000104,0.15,0.15,0.125,0.1,0.1,0.0,True,0.0,0.0,0.0
14_I_2_Day_1_LT,14,LC,I,Dutch_Canal,Day_1,Neap,LT,0.0,0.98,-0.0169,5.7e-05,0.15,0.15,0.05,0.04,0.04,0.0,True,0.0,0.0,0.0
14_J_2_Day_1_HT,14,LC,J,I,Day_1,Neap,HT,62.89,1.09,0.0279,0.000104,0.15,0.15,0.119,0.0915,0.0930697802783039,116975.4,False,-0.0015697802783039005,0.0015697802783039005,2.4642101221518715e-06
